question,answer
What has been the trend in the number of sauropodomorph species named since the 1990s?,more sauropodomorphs were named between 1990 and 2020 than in all previous years combined
What has been the trend in the quality of dinosaur specimens since the dinosaur renaissance?,new species being increasingly named not on scrappy fossils but on more complete skeletons sometimes from multiple individuals
What is the primary location for finding complete theropod specimens?,Asian localities
What is the primary location for finding complete sauropodomorph specimens?,North American localities
What is the traditional method of classification used in dinosaur research?,Linnaean taxonomy
What is the more objective method of classification used in dinosaur research?,cladistics
What is the reference book summarizing the state of dinosaur research?,The Dinosauria
What is the significance of the release of The Dinosauria in 1990 and 2004?,The release was accompanied by increases in the number of published phylogenetic trees for dinosaurs.
What type of dinosaur fossils are not limited to bones?,"Dinosaur fossils are not limited to bones but also include imprints or mineralized remains of skin coverings, organs, and other tissues."
Why are keratin-based skin coverings easily preserved?,"Because of their crosslinked, hydrophobic molecular structure."
When was the first known specimen of Edmontosaurus annectens found with skin impressions?,In 1884 by Jacob Wortman.
Who correctly attributed the sauropod forelimb with preserved skin in 1852?,Marsh in 1888.
What is the significance of the Jehol Early Cretaceous and Yanliao Mid-to-Late Jurassic biotas?,They produced exceptionally preserved fossils with impressions of featherlike structures.
What is the significance of melanosomes in living reptiles and mammals?,They are partially responsible for producing coloration.
What has been reported from feathers and scales of Jehol and Yanliao dinosaurs?,Both chemical traces of melanin and characteristically shaped melanosomes.
Who has reconstructed dinosaur coloration using melanosomes?,Jakob Vinther and colleagues.
What is the significance of stomach contents in some Jehol and Yanliao dinosaurs?,They provide indirect indications of diet and digestive system anatomy.
What is the significance of the Scipionyx fossil from Italy?,"It preserves portions of the intestines, colon, liver, muscles, and windpipe."
Who reported preserved soft tissues and proteins within dinosaur bone fossils?,"Mary Higby Schweitzer, Jack Horner, and colleagues."
What was found in tyrannosaurid bones by Schweitzer and others?,Mineralized structures that likely represented red blood cells and collagen fibers.
What was reported in 2005 by Schweitzer and colleagues?,"A femur of Tyrannosaurus preserved soft, flexible tissue within, including blood vessels, bone matrix, and connective tissue."
What does the discovery of preserved soft tissues suggest?,"That original soft tissues can be preserved over geological time, with multiple mechanisms having contributed."
What is the significance of the rocks that produced the Jehol and Yanliao biotas?,They produced exceptionally preserved fossils with impressions of featherlike structures.
Who described hundreds of dinosaur specimens bearing impressions of featherlike structures?,Xing Xu and colleagues.
What is the significance of the Pietraroja Plattenkalk of Italy?,"It produced the Scipionyx fossil, which preserves portions of the intestines, colon, liver, muscles, and windpipe."
What is the significance of the Pietraroja Plattenkalk of Italy in dinosaur research?,It provides concrete evidence of internal anatomy.
What is the significance of the Pietraroja Plattenkalk of Italy in dinosaur research?,It provides concrete evidence of internal anatomy.
When was the first known specimen of Edmontosaurus annectens found?,In 1884.
Who described skin impressions of Hypsilophodon and Iguanodon?,Owen and Hooley.
What is the significance of the Pietraroja Plattenkalk of Italy in dinosaur research?,It provides concrete evidence of internal anatomy.
What is the significance of the Pietraroja Plattenkalk of Italy in dinosaur research?,It provides concrete evidence of internal anatomy.
What is the significance of the Pietraroja Plattenkalk of Italy in dinosaur research?,It provides concrete evidence of internal anatomy.
What is the significance of the Pietraroja Plattenkalk of Italy in dinosaur research?,It provides concrete evidence of internal anatomy.
What is the significance of the Pietraroja Plattenkalk of Italy in dinosaur research?,It provides concrete evidence of internal anatomy.
What is the significance of the Pietraroja Plattenkalk of Italy in dinosaur research?,It provides concrete evidence of internal anatomy.
What is the significance of the Pietraroja Plattenkalk of Italy in dinosaur research?,It provides concrete evidence of internal anatomy.
What is the significance of the Pietraroja Plattenkalk of Italy in dinosaur research?,It provides concrete evidence of internal anatomy.
What is the significance of the Pietraroja Plattenkalk of Italy in dinosaur research?,It provides concrete evidence of internal anatomy.
In what year were Brachylophosaurus femur microstructures and immunohistochemical techniques reported?,2009
What proteins were detected in Brachylophosaurus femur using immunohistochemical techniques?,"Collagen, elastin, and laminin"
What was the outcome of molecular phylogenetic analyses on Brachylophosaurus femur collagen protein sequences?,Grouped with birds
What is the estimated age of the Permian-Triassic extinction event?,252 million years ago
What percentage of marine species and terrestrial vertebrate species were wiped out by the Permian-Triassic extinction event?,"96% and 70%, respectively"
What is the name of the formation in Argentina and Brazil where the oldest dinosaur fossils were found?,Ischigualasto and Santa Maria Formations
What is the age of the Ischigualasto Formation?,231-230 million years old
What is the likely resemblance of Eoraptor to the common ancestor of all dinosaurs?,Small bipedal predator
What is the name of the formation in Zimbabwe where sauropodomorph fossils were found?,Pebbly Arkose Formation
What is the age of the Santa Maria Formation?,233-23 million years old
What is the name of the sauropodomorph found in the Pebbly Arkose Formation?,Mbiresaurus
What is the name of the formation in India where sauropodomorph fossils were found?,Upper Maleri and Lower Maleri Formations
What is the name of the early saurischian found in the Ischigualasto Formation?,Eoraptor
What is the name of the sauropodomorph found in the Upper Maleri Formation?,Jaklapallisaurus
What is the name of the early saurischian found in the Lower Maleri Formation?,Alwalkeria
What is the age of the Chaares Formation in Argentina?,Carnian-aged
What is the name of the ornithodiran found in the Chaares Formation?,Lagosuchus
What is the name of the ornithodiran found in the Chaares Formation?,Lagerpeton
What is the age of Nyasasaurus from the Manda Formation of Tanzania?,Approximately 243 million years ago
What is the name of the formation in Tanzania where Nyasasaurus was found?,Manda Formation
Is the referral of the Manda Formation to the Anisian epoch certain?,Uncertain
What is the name of the sauropodomorph found in the Santa Maria Formation?,Bagualosaurus
What is the name of the sauropodomorph found in the Santa Maria Formation?,Buriolestes
What is the name of the sauropodomorph found in the Santa Maria Formation?,Guaibasaurus
What is the name of the sauropodomorph found in the Santa Maria Formation?,Macrocollum
What is the name of the sauropodomorph found in the Santa Maria Formation?,Nhandumirim
What is the name of the sauropodomorph found in the Santa Maria Formation?,Pampadromaeus
What is the name of the sauropodomorph found in the Santa Maria Formation?,Saturnalia
What is the name of the sauropodomorph found in the Santa Maria Formation?,Unaysaurus
What is the name of the herrerasaurid found in the Ischigualasto Formation?,Herrerasaurus
What is the name of the herrerasaurid found in the Santa Maria Formation?,Gnathovorax
What is the name of the herrerasaurid found in the Santa Maria Formation?,Staurikosaurus
