question,answer
What is the goal of artificial intelligence?,To solve a wide variety of problems with breadth and versatility similar to human intelligence
What is the difference between propositional logic and predicate logic?,"Propositional logic operates on statements that are true or false and uses logical connectives, while predicate logic also operates on objects, predicates, and relations and uses quantifiers"
What is the process of proving a new statement in logic?,"Deductive reasoning in logic, which is the process of proving a new statement conclusion from other statements that are given and assumed to be true the premises"
What is the purpose of swarm intelligence in search?,To coordinate via algorithms such as particle swarm optimization and ant colony optimization
What is the goal of evolutionary computation?,To iteratively improve a set of candidate solutions by mutating and recombining them selecting only the fittest to survive each generation
What is the purpose of gradient descent in AI?,To optimize a set of numerical parameters by incrementally adjusting them to minimize a loss function
What is the purpose of local search in AI?,To find a solution to a problem by using mathematical optimization and beginning with some form of guess and refining it incrementally
What is the purpose of formal logic in AI?,To be used for reasoning and knowledge representation
What is the clausal form of first-order logic resolution?,A single axiom-free rule of inference in which a problem is solved by proving a contradiction from premises that include the negation of the problem to be solved.
Is inference in Horn clause logic and first-order logic undecidable?,"Yes, and therefore intractable."
What is the efficiency of backward reasoning with Horn clauses?,Competitive with computation in other symbolic programming languages.
What is fuzzy logic?,"A logic that assigns a degree of truth between 0 and 1, allowing it to handle propositions that are vague and partially true."
What is nonmonotonic logic?,"A logic designed to handle default reasoning, including logic programming with negation as failure."
What are some specialized versions of logic used to describe complex domains?,"Probabilistic methods for uncertain reasoning, Bayesian networks, and decision theory."
What is Bayesian inference?,A tool for reasoning using Bayesian networks.
What is the expectation-maximization algorithm used for?,Learning using Bayesian networks.
What is decision theory?,A precise mathematical tool for analyzing how an agent can make choices and plan.
What is Markov decision process?,A model used in decision theory.
What is a classifier?,A function that uses pattern matching to determine the closest match.
What is an observation in a data set?,A pattern that is labeled with a certain predefined class.
What is a data set in a classifier?,A collection of observations combined with their class labels.
What is the decision tree?,The simplest and most widely used symbolic machine learning algorithm.
What is the K-nearest neighbor algorithm?,A widely used analogical AI algorithm until the mid-1990s.
What is the support vector machine?,A kernel method that displaced K-nearest neighbor in the 1990s.
What is the naive Bayes classifier?,"The most widely used learner at Google, reportedly due to its scalability."
What is an artificial neural network?,An interconnected group of nodes that model the neurons in a biological brain.
What is the purpose of training a neural network?,"To recognize patterns once trained, it can recognize those patterns in fresh data."
What is the structure of a neural network?,"An input, at least one hidden layer of nodes, and an output."
What is the role of nodes in a neural network?,Each node applies a function and once the weight crosses its specified threshold.
What is the relationship between logic programming and Prolog?,Backward reasoning with Horn clauses underpins computation in Prolog.
What is the relationship between first-order logic and Horn clause logic?,Horn clause logic is a special case of first-order logic.
What is the relationship between fuzzy logic and first-order logic?,Fuzzy logic is a different type of logic that assigns a degree of truth between 0 and 1.
What is the relationship between nonmonotonic logic and first-order logic?,Nonmonotonic logic is a different type of logic designed to handle default reasoning.
What is the relationship between probabilistic methods and first-order logic?,Probabilistic methods are used to handle uncertain reasoning in addition to first-order logic.
What is the relationship between decision theory and first-order logic?,"Decision theory is a precise mathematical tool that analyzes how an agent can make choices and plan, but it is not directly related to first-order logic."
What is the relationship between neural networks and first-order logic?,Neural networks are a different type of machine learning algorithm that is not directly related to first-order logic.
What is the relationship between classifiers and first-order logic?,Classifiers are a type of machine learning algorithm that can be used in addition to first-order logic.
What is the relationship between Markov decision processes and first-order logic?,"Markov decision processes are a model used in decision theory, but they are not directly related to first-order logic."
What is a deep neural network?,A network is typically called a deep neural network if it has at least 2 hidden layers
What is the most common training technique for neural networks?,The most common training technique is the backpropagation algorithm
What can neural networks learn to model?,Neural networks learn to model complex relationships between inputs and outputs and find patterns in data
Can a neural network learn any function?,"In theory, a neural network can learn any function"
What is the difference between feedforward and recurrent neural networks?,"In feedforward neural networks, the signal passes in only one direction, while recurrent neural networks feed the output signal back into the input"
What is the most successful network architecture for recurrent networks?,Long short-term memory is the most successful network architecture for recurrent networks
What is a Perceptron?,Perceptrons use only a single layer of neurons
What is deep learning?,Deep learning uses multiple layers of neurons between the network's inputs and outputs
How do multiple layers of neurons in deep learning progressively extract features?,The multiple layers can progressively extract higher-level features from the raw input
What are some examples of applications of deep learning?,"Computer vision, speech recognition, natural language processing, image classification, and others"
Why did deep learning suddenly become successful in 2012-2015?,"The sudden success of deep learning in 2012-2015 did not occur because of some new discovery or theoretical breakthrough, but because of two factors: the incredible increase in computer power and the availability of vast amounts of training data"
What is GPT?,GPT are large language models (LLMs) that generate text based on the semantic relationships between words in sentences
How are GPT models pretrained?,"GPT models are pretrained on a large corpus of text that can be from the Internet, by predicting the next token"
What is the purpose of the pretraining phase in GPT models?,The pretraining phase accumulates knowledge about the world and can then generate humanlike text
What is RLHF?,"RLHF is a technique used to make the model more truthful, useful, and harmless, usually with human feedback"
What are some examples of current GPT models and services?,"Current models and services include Gemini, ChatGPT, Grok, Claude, Copilot, and LLaMA"
What is multimodal GPT?,"Multimodal GPT models can process different types of data modalities, such as images, videos, sound, and text"
What replaced CPUs as the dominant means for training large-scale machine learning models?,Graphics processing units (GPUs) replaced CPUs as the dominant means for training large-scale machine learning models
What programming languages are used for artificial intelligence?,Specialized programming languages such as Prolog were used
What is the difference between a CPU and a GPU?,GPUs were increasingly designed with AI-specific enhancements
What is TensorFlow software?,TensorFlow software is used with specialized GPUs
What is the purpose of TensorFlow software?,TensorFlow software is used for training large-scale machine learning models
What is the importance of local search in neural networks?,Local search is used to choose the weights that will get the right output for each input during training
What is the significance of the number of hidden layers in a neural network?,A network is typically called a deep neural network if it has at least 2 hidden layers
What is the role of backpropagation in neural networks?,The most common training technique is the backpropagation algorithm
What is the importance of computer power in deep learning?,The incredible increase in computer power was a key factor in the sudden success of deep learning in 2012-2015
What is the role of training data in deep learning?,The availability of vast amounts of training data was a key factor in the sudden success of deep learning in 2012-2015
What is the purpose of reinforcement learning from human feedback in GPT models?,"RLHF is used to make the model more truthful, useful, and harmless, usually with human feedback"
What are some examples of applications of GPT models?,"GPT models are used in chatbots, which allow people to ask a question or request a task in simple text"
What is the significance of hallucinations in GPT models?,"Current GPT models are prone to generating falsehoods, called hallucinations, although this can be reduced with RLHF and quality data"
When did general-purpose programming languages like Python become predominant?,128
What is Moores law?,The transistor density in integrated circuits has been observed to roughly double every 18 months
Who first identified Moores law?,Gordon Moore
What is Huangs law?,"a trend sometimes called Huangs law, named after Nvidia cofounder and CEO Jensen Huang, Improvements in GPUs have been even faster"
What is AI used for in most essential applications of the 2020s?,"search engines, targeting online advertisements, recommendation systems, driving internet traffic, targeted advertising, AdSense, Facebook, virtual assistants, autonomous vehicles, automatic language translation, facial recognition, and image labeling"
Who is the Chief automation officer?,CAO
What is the potential of AI in medicine and medical research?,to increase patient care and quality of life
Why are medical professionals ethically compelled to use AI?,"Through the lens of the Hippocratic Oath, medical professionals are ethically compelled to use AI if applications can more accurately diagnose and treat patients"
What is the importance of AI in medical research?,"AI is an important tool for processing and integrating big data, particularly important for organoid and tissue engineering development which use microscopy imaging as a key technique in fabrication"
Can AI overcome discrepancies in funding allocated to different fields of research?,"Yes, it has been suggested that AI can overcome discrepancies in funding allocated to different fields of research"
What is AlphaFold 2?,"AlphaFold 2, 2021 demonstrated the ability to approximate in hours rather than months the 3D structure of a protein"
What did AIguided drug discovery help find in 2023?,a class of antibiotics capable of killing two different types of drug-resistant bacteria
What did researchers use machine learning to accelerate in 2024?,the search for Parkinsons disease drug treatments
What is the aim of researchers in identifying compounds that block the clumping or aggregation of alphasynuclein?,to identify compounds that block the clumping or aggregation of alphasynuclein the protein that characterises Parkinsons disease
How did researchers speed up the initial screening process and reduce the cost?,tenfold and by a thousandfold
When did game playing programs have been used to demonstrate and test AIs most advanced techniques?,since the 1950s
What did Deep Blue become in 1997?,the first computer chessplaying system to beat a reigning world chess champion Garry Kasparov
Who won the Jeopardy quiz show exhibition match in 2011?,IBM s question answering system Watson
What did AlphaGo win in 2016?,4 out of 5 games of Go in a match with Go champion Lee Sedol
What did MuZero handle?,increasingly generalistic reinforcement learning models
What did DeepMind develop?,reinforcement learning models such as MuZero
What did AlphaStar achieve in 2019?,grandmaster level in StarCraft II
What did an AI agent compete in in 2021?,a PlayStation Gran Turismo competition
What did the AI agent win in 2021?,against four of the worlds best Gran Turismo drivers
When did AlphaFold 2 demonstrate the ability to approximate in hours rather than months the 3D structure of a protein?,2021
What did AIguided drug discovery help find in 2023?,a class of antibiotics capable of killing two different types of drug-resistant bacteria
What did researchers use machine learning to accelerate in 2024?,the search for Parkinsons disease drug treatments
What is the aim of researchers in identifying compounds that block the clumping or aggregation of alphasynuclein?,to identify compounds that block the clumping or aggregation of alphasynuclein the protein that characterises Parkinsons disease
How did researchers speed up the initial screening process and reduce the cost?,tenfold and by a thousandfold
What is SIMA?,A type of AI capable of autonomously playing nine previously unseen open-world video games by observing screen output as well as executing short specific tasks in response to natural language instructions.
What are large language models used for in mathematics?,"They are used for solving math problems, but can also produce wrong answers in the form of hallucinations."
What are some methods to improve the performance of large language models in mathematics?,"Supervised fine-tuning, trained classifiers with human-annotated data, and training the models to produce correct reasoning steps rather than just the correct result."
What is Qwen2Math?,A version of Alibaba Group's Qwen models that achieved state-of-the-art performance on several mathematical benchmarks.
What is the rStarMath technique?,"A technique that leverages Monte Carlo tree search and step-by-step reasoning, enabling a relatively small language model to solve mathematical problems."
What are some dedicated models for mathematical problem solving?,"AlphaTensor, AlphaGeometry, AlphaProof, Llemma, and Julius."
What can converters do with natural language descriptions of mathematical problems?,"They can transform such prompts into a formal language, such as Lean, to define mathematical tasks."
What is topological deep learning?,It integrates various topological approaches.
What is one of the fastest growing sectors for applied AI tools?,Finance.
What are some examples of AI applications in finance?,"Retail online banking, investment advice, and insurance."
What is the concern of World Pensions experts about AI in finance?,"That it may automate too many jobs, destroying tens of thousands of jobs in banking, financial planning, and pension advice."
What are some potential applications of AI in the military?,"Enhancing command and control, communications, sensors integration, and interoperability."
What are some research areas targeting AI in the military?,"Intelligence collection and analysis, logistics, cyber operations, information operations, and semiautonomous and autonomous vehicles."
What does AI enable in the military?,"Coordination of sensors and effectors, threat detection and identification, marking of enemy positions, target acquisition, coordination, and deconfliction of distributed Joint operations."
What is the main goal of AI in the military?,"To enhance the coordination of sensors and effectors, and to improve decision-making."
What is the potential of AI in finance?,To automate many tasks and improve efficiency.
What are some potential applications of AI in mathematics?,"Solving math problems, proof of theorems, and educational tools."
What is the performance of some language models for reasoning capabilities in solving math problems?,"Low, even for problems with only minor deviations from trained data."
What is one technique to improve the performance of language models in mathematics?,Training the models to produce correct reasoning steps rather than just the correct result.
What is the accuracy of Qwen2Math on the MATH dataset of competition mathematics problems?,84.
What is the technique used by Microsoft to solve mathematical problems?,"rStarMath, which leverages Monte Carlo tree search and step-by-step reasoning."
What is the performance of Qwen7B on the AIME 2024 and MATH benchmark problems?,"53% and 90%, respectively."
What are some examples of AI applications in the financial sector?,"Retail online banking, investment advice, and insurance."
What is the concern of World Pensions experts about AI in finance?,"That it may automate too many jobs, destroying tens of thousands of jobs in banking, financial planning, and pension advice."
What are some potential applications of AI in the military?,"Enhancing command and control, communications, sensors integration, and interoperability."
What are some research areas targeting AI in the military?,"Intelligence collection and analysis, logistics, cyber operations, information operations, and semiautonomous and autonomous vehicles."
What does AI enable in the military?,"Coordination of sensors and effectors, threat detection and identification, marking of enemy positions, target acquisition, coordination, and deconfliction of distributed Joint operations."
What is the main goal of AI in the military?,"To enhance the coordination of sensors and effectors, and to improve decision-making."
What is the potential of AI in finance?,To automate many tasks and improve efficiency.
What are some potential applications of AI in mathematics?,"Solving math problems, proof of theorems, and educational tools."
