question,answer
What is one example of generative AI being trained on unlicensed copyrighted works?,"Generative AI is often trained on unlicensed copyrighted works, including in domains such as images or computer code."
What is the rationale for using unlicensed copyrighted works in generative AI?,The output is then used under the rationale of fair use.
What are some factors that may affect the legality of using unlicensed copyrighted works in generative AI?,Relevant factors may include the purpose and character of the use of the copyrighted work and the effect upon the potential market for the copyrighted work.
What is one example of how website owners can indicate they do not wish to have their content scraped?,Website owners who do not wish to have their content scraped can indicate it in a robots.txt file.
What is the concern about AI's impact on copyright?,"Generative AI is often trained on unlicensed copyrighted works, and the output is then used under the rationale of fair use."
What is the potential use of AI in real-time science decisions?,AI could be used for real-time science decisions in space exploration.
What is one example of AI's potential to solve serious problems?,AI may be able to advance science and find solutions for serious problems.
Who sued AI companies in 2023?,John Grisham and Jonathan Franzen
What is the dominance of tech giants in the commercial AI scene?,"Big Tech companies such as Alphabet Inc, Amazon, Apple Inc, Meta Platforms, and Microsoft"
What is the projected power consumption for data centers and AI by 2026?,"Power demand might double by 2026, with additional electric power usage equal to electricity used by the whole Japanese nation"
What is the concern regarding the construction of data centers?,The concern is that it will be fulfilled no matter the source
How much electrical energy does a ChatGPT search consume compared to a Google search?,10 times the electrical energy
What do technology firms argue about the environmental impact of AI?,That AI will be eventually kinder to the environment but they need the energy now
What is the predicted growth of US power demand by 2030?,"US power demand is likely to experience growth not seen in a generation, and forecasts that by 2030 US data centers will consume 8% of US power"
Why do data centers need more and more electrical power?,Data centers need more and more electrical power because they might max out the electrical grid
What is the agreement between Microsoft and Constellation Energy?,Microsoft will receive 100% of all electric power produced by the Three Mile Island nuclear power plant for 20 years
Why is the reopening of the Three Mile Island nuclear power plant important?,It will be the first ever US recommissioning of a nuclear plant over 835 megawatts of power
What is the estimated cost for reopening and upgrading the Three Mile Island nuclear power plant?,16 billion US
What is the investment in reopening the Palisades nuclear power plant?,The US government and the state of Michigan are investing almost 2 billion US
Who is the CEO of Nvidia that supports nuclear power for data centers?,JenHsun Huang
What is the concern regarding the power grid and AI?,AI makes the power grid more efficient and intelligent
What is the forecasted growth of nuclear power by 2030?,The growth of nuclear power will be a variety of means
What is the report by the International Energy Agency (IEA) released in January 2024?,"Electricity 2024 Analysis and Forecast to 2026, forecasting electric power use and power consumption for artificial intelligence and cryptocurrency"
What is the result of the Goldman Sachs Research Paper AI Data Centers and the Coming US Power Demand Surge?,US power demand is likely to experience growth not seen in a generation
What is the prediction for US data centers' power consumption by 2030?,US data centers will consume 8% of US power
What is the current status of the nuclear reactor on Lake Michigan?,"The nuclear reactor on Lake Michigan was closed in 2022, but it is planned to be reopened in October 2025."
What is the new name of the Three Mile Island facility?,"The Three Mile Island facility will be renamed the Crane Clean Energy Center after Chris Crane, a nuclear proponent and former CEO of Exelon."
Why did Taiwan suspend the approval of data centers in 2024?,Taiwan suspended the approval of data centers in 2024 due to power supply shortages.
Does Taiwan aim to phase out nuclear power?,"Yes, Taiwan aims to phase out nuclear power by 2025."
Why did Singapore impose a ban on data centers in 2019?,Singapore imposed a ban on data centers in 2019 due to electric power concerns.
Did Singapore lift the ban on data centers?,"Yes, Singapore lifted the ban on data centers in 2022."
What is Ubitus looking for in Japan?,Ubitus is looking for land in Japan near nuclear power plants for a new data center for generative AI.
Why does Ubitus prefer nuclear power plants?,"According to Ubitus CEO Wesley Kuo, nuclear power plants are the most efficient, cheap, and stable power for AI."
What happened to Talen Energy's application for approval?,The Federal Energy Regulatory Commission (FERC) rejected Talen Energy's application to supply some electricity from the nuclear power station Susquehanna to Amazon's data center.
Why did FERC reject the application?,"According to FERC Chairman Willie L Phillips, it is a burden on the electricity grid as well as a significant cost-shifting concern to households and other business sectors."
What did AI programs learn from user behavior?,"AI programs learned that users tended to choose misinformation, conspiracy theories, and extreme partisan content, and to keep them watching."
What was the goal of recommender systems?,The goal of recommender systems was to maximize user engagement.
What were the consequences of AI's goal?,"The consequence was that users were led into filter bubbles where they received multiple versions of the same misinformation, which convinced many users that the misinformation was true."
What did generative AI begin to create in 2022?,"Generative AI began to create images, audio, video, and text that are indistinguishable from real photographs, recordings, films, or human writing."
What are the risks of generative AI?,The risks include the creation of massive amounts of misinformation or propaganda.
What did AI pioneer Geoffrey Hinton express concern about?,Geoffrey Hinton expressed concern about AI enabling authoritarian leaders to manipulate their electorates on a large scale.
What is algorithmic bias?,Algorithmic bias refers to the problem where machine learning applications learn from biased data and may cause discrimination.
How can bias be introduced in machine learning?,Bias can be introduced by the way training data is selected and by the way a model is deployed.
What is sample size disparity?,"Sample size disparity refers to the problem where a dataset contains very few images of a particular group, such as black people."
Which companies are mentioned in the text?,"Facebook, Microsoft, and Amazon"
What is COMPAS used for?,To assess the likelihood of a defendant becoming a recidivist
Is COMPAS a government program?,"No, it is a commercial program"
In which country is COMPAS widely used?,The United States
What type of courts use COMPAS?,US courts
What is the purpose of COMPAS in US courts?,To assess the likelihood of a defendant becoming a recidivist
Is COMPAS a widely used program?,"Yes, it is widely used by US courts"
Who uses COMPAS in US courts?,Defendants
What is COMPAS an assessment of?,The likelihood of a defendant becoming a recidivist
Is COMPAS used in criminal courts?,"Yes, it is used in US courts"
Is COMPAS a free program?,"No, it is a commercial program"
What is the name of the program mentioned in the text?,COMPAS
Who develops COMPAS?,Not mentioned in the text
Is COMPAS used in all US courts?,"No, it is widely used but not used in all US courts"
What is the goal of COMPAS in US courts?,To assess the likelihood of a defendant becoming a recidivist
Is COMPAS a tool used by judges?,"Yes, it is a tool used by US courts"
What is the primary purpose of COMPAS?,To assess the likelihood of a defendant becoming a recidivist
Is COMPAS a widely used tool in US courts?,"Yes, it is widely used"
What type of information does COMPAS assess?,The likelihood of a defendant becoming a recidivist
